country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,nmiss
 India ,Asia, Life expectancy ,37.369999,40.25,43.610001,47.189999,50.650002,54.209999,56.599998,58.549999,60.220001,61.77,62.880001,64.699997,0
 India ,Asia, Population ,372000000,409000000,454000000,506000000,567000000,634000000,708000000,788000000,872000000,959000000,1034172544,1110396288,0
 Indonesia ,Asia," Gross domestic product per capita, constant prices ",749.67999,858.90002,849.28998,762.42999,1111.11,1382.7,1516.87,1748.36,2383.1399,3119.3401,2873.9099,3540.6499,0
 Indonesia ,Asia, Life expectancy ,37.470001,39.919998,42.52,45.959999,49.200001,52.700001,56.16,60.139999,62.68,66.040001,68.589996,70.650002,0
 Indonesia ,Asia, Population ,82052000,90124000,99028000,109343000,121282000,136724992,153343008,169276000,184816000,199278000,211060000,223547008,0
 Iran ,Asia," Gross domestic product per capita, constant prices ",3035.3301,3290.26,4187.3301,5906.73,9613.8203,11888.6,7608.3301,6642.8799,7235.6499,8263.5898,9240.7598,11605.71,0
 Iran ,Asia, Life expectancy ,44.869999,47.18,49.330002,52.470001,55.23,57.700001,59.619999,63.040001,65.739998,68.040001,69.449997,70.959999,0
 Iran ,Asia, Population ,17272000,19792000,22874000,26538000,30614000,35480680,43072752,51889696,60397972,63327988,66907824,69453568,0
 Iraq ,Asia," Gross domestic product per capita, constant prices ",4129.77,6229.3301,8341.7402,8931.46,9576.04,14688.24,14517.91,11643.57,3745.6399,3076.24,4390.7202,4471.0601,0
 Iraq ,Asia, Life expectancy ,45.32,48.439999,51.459999,54.459999,56.950001,60.41,62.040001,65.040001,59.459999,58.810001,57.049999,59.549999,0
 Iraq ,Asia, Population ,5441766,6248643,7240260,8519282,10061506,11882916,14173318,16543189,17861904,20775704,24001816,27499638,0
 Ireland ,Europe," Gross domestic product per capita, constant prices ",5210.2798,5599.0801,6631.6001,7655.5698,9530.7695,11150.98,12618.32,13872.87,17558.82,24521.949,34077.051,40676,0
 Ireland ,Europe, Life expectancy ,66.910004,68.900002,70.290001,71.080002,71.279999,72.029999,73.099998,74.360001,75.470001,76.120003,77.779999,78.889999,0
 Ireland ,Europe, Population ,2952156,2878220,2830000,2900100,3024400,3271900,3480000,3539900,3557761,3667233,3879155,4109086,0
 Israel ,Asia," Gross domestic product per capita, constant prices ",4086.52,5385.2798,7105.6299,8393.7402,12786.93,13306.62,15367.03,17122.48,18051.52,20896.609,21905.6,25523.279,0
 Israel ,Asia, Life expectancy ,65.389999,67.839996,69.389999,70.75,71.629997,73.059998,74.449997,75.599998,76.93,78.269997,79.699997,80.75,0
 Israel ,Asia, Population ,1620914,1944401,2310904,2693585,3095893,3495918,3858421,4203148,4936550,5531387,6029529,6426679,0
 Italy ,Europe," Gross domestic product per capita, constant prices ",4931.3999,6248.6602,8243.5801,10022.4,12269.27,14255.98,16537.48,19207.23,22013.641,24675.02,27968.1,28569.721,0
 Italy ,Europe, Life expectancy ,65.940002,67.809998,69.239998,71.059998,72.190002,73.480003,74.980003,76.419998,77.440002,78.82,80.239998,80.550003,0
 Italy ,Europe, Population ,47666000,49182000,50843200,52667100,54365564,56059244,56535636,56729704,56840848,57479468,57927000,58147732,0
 Jamaica ,Americas," Gross domestic product per capita, constant prices ",2898.53,4756.5298,5246.1099,6124.7002,7433.8901,6650.2002,6068.0498,6351.2402,7404.9199,7121.9199,6994.77,7320.8799,0
 Jamaica ,Americas, Life expectancy ,58.529999,62.610001,65.610001,67.510002,69,70.110001,71.209999,71.769997,71.769997,72.260002,72.050003,72.57,0
 Jamaica ,Americas, Population ,1426095,1535090,1665128,1861096,1997616,2156814,2298309,2326606,2378618,2531311,2664659,2780132,0
 Japan ,Asia," Gross domestic product per capita, constant prices ",3216.96,4317.6899,6576.6499,9847.79,14778.79,16610.381,19384.109,22375.939,26824.9,28816.58,28604.59,31656.07,0
 Japan ,Asia, Life expectancy ,63.029999,65.5,68.730003,71.43,73.419998,75.379997,77.110001,78.669998,79.360001,80.690002,82,82.599998,0
 Japan ,Asia, Population ,86459024,91563008,95831760,100825280,107188272,113872472,118454976,122091328,124329272,125956496,127065840,127467968,0
 Jordan ,Asia," Gross domestic product per capita, constant prices ",1546.91,1886.08,2348.01,2741.8,2110.8601,2852.3501,4161.4199,4448.6802,3431.5901,3645.3799,3844.9199,4519.46,0
 Jordan ,Asia, Life expectancy ,43.16,45.669998,48.130001,51.630001,56.529999,61.130001,63.740002,65.870003,68.019997,69.769997,71.260002,72.540001,0
 Jordan ,Asia, Population ,607914,746559,933559,1255058,1613551,1937652,2347031,2820042,3867409,4526235,5307470,6053193,0
 Kenya ,Africa," Gross domestic product per capita, constant prices ",853.53998,944.44,896.96997,1056.74,1222.36,1267.61,1348.23,1361.9399,1341.92,1360.49,1287.51,1463.25,0
 Kenya ,Africa, Life expectancy ,42.27,44.689999,47.950001,50.650002,53.560001,56.16,58.77,59.34,59.290001,54.41,50.990002,54.110001,0
 Kenya ,Africa, Population ,6464046,7454779,8678557,10191512,12044785,14500404,17661452,21198082,25020540,28263828,31386842,35610176,0
" Korea, Dem. Rep. ",Asia," Gross domestic product per capita, constant prices ",1088.28,1571.13,1621.6899,2143.54,3701.6201,4106.2998,4106.5298,4106.4902,3726.0601,1690.76,1646.76,1593.0699,0
" Korea, Dem. Rep. ",Asia, Life expectancy ,50.060001,54.080002,56.66,59.939999,63.98,67.160004,69.099998,70.650002,69.980003,67.730003,66.660004,67.300003,0
" Korea, Dem. Rep. ",Asia, Population ,8865488,9411381,10917494,12617009,14781241,16325320,17647518,19067554,20711376,21585104,22215364,23301724,0
" Korea, Rep. ",Asia," Gross domestic product per capita, constant prices ",1030.59,1487.59,1536.34,2029.23,3030.8799,4657.2202,5622.9399,8533.0898,12104.28,15993.53,19233.99,23348.141,0
" Korea, Rep. ",Asia, Life expectancy ,47.450001,52.68,55.290001,57.720001,62.610001,64.769997,67.120003,69.809998,72.239998,74.650002,77.050003,78.620003,0
" Korea, Rep. ",Asia, Population ,20947572,22611552,26420308,30131000,33505000,36436000,39326000,41622000,43805448,46173816,47969152,49044792,0
 Kuwait ,Asia," Gross domestic product per capita, constant prices ",108382.35,113523.13,95458.109,80894.883,109347.87,59265.48,31354.039,28118.43,34932.922,40300.621,35110.109,47306.988,0
 Kuwait ,Asia, Life expectancy ,55.57,58.029999,60.470001,64.620003,67.709999,69.339996,71.309998,74.169998,75.190002,76.160004,76.900002,77.589996,0
 Kuwait ,Asia, Population ,160000,212846,358266,575003,841934,1140357,1497494,1891487,1418095,1765345,2111561,2505559,0
 Lebanon ,Asia," Gross domestic product per capita, constant prices ",4834.7998,6089.79,5714.5601,6006.98,7486.3799,8659.7002,7640.52,5377.0898,6890.8101,8754.96,9313.9404,10461.06,0
 Lebanon ,Asia, Life expectancy ,55.93,59.490002,62.09,63.869999,65.419998,66.099998,66.980003,67.93,69.290001,70.269997,71.029999,71.989998,0
 Lebanon ,Asia, Population ,1439529,1647412,1886848,2186894,2680018,3115787,3086876,3089353,3219994,3430388,3677780,3921278,0
 Lesotho ,Africa," Gross domestic product per capita, constant prices ",298.85001,336,411.79999,498.64001,496.57999,745.37,797.26001,773.98999,977.48999,1186.15,1275.1801,1569.33,0
 Lesotho ,Africa, Life expectancy ,42.139999,45.049999,47.75,48.490002,49.77,52.209999,55.080002,57.18,59.689999,55.560001,44.59,42.59,0
 Lesotho ,Africa, Population ,748747,813338,893143,996380,1116779,1251524,1411807,1599200,1803195,1982823,2046772,2012649,0
 Liberia ,Africa," Gross domestic product per capita, constant prices ",575.57001,620.96997,634.20001,713.59998,803.01001,640.32001,572.20001,506.10999,636.62,609.16998,531.47998,414.51001,0
 Liberia ,Africa, Life expectancy ,38.48,39.490002,40.5,41.540001,42.610001,43.759998,44.849998,46.029999,40.799999,42.220001,43.75,45.68,0
 Liberia ,Africa, Population ,863308,975950,1112796,1279406,1482628,1703617,1956875,2269414,1912974,2200725,2814651,3193942,0
 Libya ,Africa," Gross domestic product per capita, constant prices ",2387.55,3448.28,6757.0298,18772.75,21011.5,21951.211,17364.279,11770.59,9640.1396,9467.4502,9534.6797,12057.5,0
 Libya ,Africa, Life expectancy ,42.720001,45.290001,47.810001,50.23,52.77,57.439999,62.16,66.230003,68.760002,71.559998,72.739998,73.949997,0
 Libya ,Africa, Population ,1019729,1201578,1441863,1759224,2183877,2721783,3344074,3799845,4364501,4759670,5368585,6036914,0
 Madagascar ,Africa," Gross domestic product per capita, constant prices ",1443.01,1589.2,1643.39,1634.05,1748.5601,1544.23,1302.88,1155.4399,1040.6801,986.29999,894.64001,1044.77,0
 Madagascar ,Africa, Life expectancy ,36.68,38.869999,40.849998,42.880001,44.849998,46.880001,48.970001,49.349998,52.209999,54.98,57.290001,59.439999,0
 Madagascar ,Africa, Population ,4762912,5181679,5703324,6334556,7082430,8007166,9171477,10568642,12210395,14165114,16473477,19167654,0
 Malawi ,Africa," Gross domestic product per capita, constant prices ",369.17001,416.37,427.89999,495.51001,584.62,663.21997,632.79999,635.52002,563.20001,692.28003,665.41998,759.34998,0
 Malawi ,Africa, Life expectancy ,36.259998,37.209999,38.41,39.490002,41.77,43.77,45.639999,47.459999,49.419998,47.5,45.009998,48.299999,0
 Malawi ,Africa, Population ,2917802,3221238,3628608,4147252,4730997,5637246,6502825,7824747,10014249,10419991,11824495,13327079,0
 Malaysia ,Asia," Gross domestic product per capita, constant prices ",1831.13,1810.0699,2036.88,2277.74,2849.0901,3827.9199,4920.3599,5249.7998,7277.9102,10132.91,10206.98,12451.66,0
 Malaysia ,Asia, Life expectancy ,48.459999,52.099998,55.740002,59.369999,63.009998,65.260002,68,69.5,70.690002,71.940002,73.040001,74.239998,0
 Malaysia ,Asia, Population ,6748378,7739235,8906385,10154878,11441462,12845381,14441916,16331785,18319502,20476092,22662364,24821286,0
 Mali ,Africa," Gross domestic product per capita, constant prices ",452.34,490.38,496.17001,545.01001,581.37,686.40002,618.01001,684.16998,739.01001,790.26001,951.40997,1042.58,0
 Mali ,Africa, Life expectancy ,33.689999,35.310001,36.939999,38.490002,39.98,41.709999,43.919998,46.360001,48.389999,49.900002,51.82,54.470001,0
 Mali ,Africa, Population ,3838168,4241884,4690372,5212416,5828158,6491649,6998256,7634008,8416215,9384984,10580176,12031795,0
 Mauritania ,Africa," Gross domestic product per capita, constant prices ",743.12,846.12,1055.9,1421.15,1586.85,1497.49,1481.15,1421.6,1361.37,1483.14,1579.02,1803.15,0
 Mauritania ,Africa, Life expectancy ,40.540001,42.34,44.25,46.290001,48.439999,50.849998,53.599998,56.150002,58.330002,60.43,62.25,64.160004,0
 Mauritania ,Africa, Population ,1022556,1076852,1146757,1230542,1332786,1456688,1622136,1841240,2119465,2444741,2828858,3270065,0
 Mauritius ,Africa," Gross domestic product per capita, constant prices ",1967.96,2034.04,2529.0701,2475.3899,2575.48,3710.98,3688.04,4783.5898,6058.25,7425.71,9021.8203,10956.99,0
 Mauritius ,Africa, Life expectancy ,50.990002,58.09,60.25,61.560001,62.939999,64.93,66.709999,68.739998,69.75,70.739998,71.949997,72.800003,0
 Mauritius ,Africa, Population ,516556,609816,701016,789309,851334,913025,992040,1042663,1096202,1149818,1200206,1250882,0
 Mexico ,Americas," Gross domestic product per capita, constant prices ",3478.1299,4131.5498,4581.6099,5754.73,6809.4102,7674.9302,9611.1504,8688.1602,9472.3799,9767.2998,10742.44,11977.57,0
 Mexico ,Americas, Life expectancy ,50.790001,55.189999,58.299999,60.110001,62.360001,65.029999,67.410004,69.5,71.459999,73.669998,74.900002,76.199997,0
 Mexico ,Americas, Population ,30144316,35015548,41121484,47995560,55984296,63759976,71640904,80122496,88111032,95895144,102479928,108700888,0
 Mongolia ,Asia," Gross domestic product per capita, constant prices ",786.57001,912.65997,1056.35,1226.04,1421.74,1647.51,2000.6,2338.01,1785.4,1902.25,2140.74,3095.77,0
 Mongolia ,Asia, Life expectancy ,42.240002,45.25,48.25,51.25,53.75,55.490002,57.490002,60.220001,61.27,63.630001,65.029999,66.800003,0
 Mongolia ,Asia, Population ,800663,882134,1010280,1149500,1320500,1528000,1756032,2015133,2312802,2494803,2674234,2874127,0
 Montenegro ,Europe," Gross domestic product per capita, constant prices ",2647.5901,3682.26,4649.5898,5907.8501,7778.4102,9595.9297,11222.59,11732.51,7003.3398,6465.6099,6557.1899,9253.9004,0
 Montenegro ,Europe, Life expectancy ,59.16,61.450001,63.73,67.18,70.639999,73.07,74.099998,74.870003,75.440002,75.449997,73.980003,74.540001,0
 Montenegro ,Europe, Population ,413834,442829,474528,501035,527678,560073,562548,569473,621621,692651,720230,684736,0
 Morocco ,Africa," Gross domestic product per capita, constant prices ",1688.2,1642,1566.35,1711.04,1930.1899,2370.6201,2702.6201,2755.05,2948.05,2982.1001,3258.5,3820.1799,0
 Morocco ,Africa, Life expectancy ,42.869999,45.419998,47.919998,50.34,52.860001,55.73,59.650002,62.68,65.389999,67.660004,69.620003,71.160004,0
 Morocco ,Africa, Population ,9939217,11406350,13056604,14770296,16660670,18396940,20198730,22987396,25798240,28529500,31167784,33757176,0
 Mozambique ,Africa," Gross domestic product per capita, constant prices ",468.53,495.59,556.69,566.66998,724.91998,502.32001,462.20999,389.88,410.89999,472.35001,633.62,823.69,0
 Mozambique ,Africa, Life expectancy ,31.290001,33.779999,36.16,38.110001,40.330002,42.5,42.799999,42.860001,44.279999,46.34,44.029999,42.080002,0
 Mozambique ,Africa, Population ,6446316,7038035,7788944,8680909,9809596,11127868,12587223,12891952,13160731,16603334,18473780,19951656,0
 Myanmar ,Asia," Gross domestic product per capita, constant prices ",331,350,388,349,357,371,424,385,347,415,611,944,0
 Myanmar ,Asia, Life expectancy ,36.32,41.91,45.110001,49.380001,53.07,56.060001,58.060001,58.34,59.32,60.330002,59.91,62.07,0
 Myanmar ,Asia, Population ,20092996,21731844,23634436,25870272,28466390,31528088,34680440,38028576,40546536,43247868,45598080,47761980,0
 Namibia ,Africa," Gross domestic product per capita, constant prices ",2423.78,2621.45,3173.22,3793.6899,3746.0801,3876.49,4191.1001,3693.73,3804.54,3899.52,4072.3201,4811.0601,0
 Namibia ,Africa, Life expectancy ,41.73,45.23,48.389999,51.16,53.869999,56.439999,58.970001,60.84,62,58.91,51.48,52.91,0
 Namibia ,Africa, Population ,485831,548080,621392,706640,821782,977026,1099010,1278184,1554253,1774766,1972153,2055080,0
 Nepal ,Asia," Gross domestic product per capita, constant prices ",545.87,597.94,652.40002,676.44,674.78998,694.10999,718.37,775.63,897.73999,1010.89,1057.21,1091.36,0
 Nepal ,Asia, Life expectancy ,36.16,37.689999,39.389999,41.470001,43.970001,46.75,49.59,52.540001,55.73,59.43,61.34,63.790001,0
 Nepal ,Asia, Population ,9182536,9682338,10332057,11261690,12412593,13933198,15796314,17917180,20326208,23001112,25873916,28901790,0
 Netherlands ,Europe," Gross domestic product per capita, constant prices ",8941.5703,11276.19,12790.85,15363.25,18794.75,21209.061,21399.461,23651.32,26790.949,30246.131,33724.762,36797.93,0
 Netherlands ,Europe, Life expectancy ,72.129997,72.989998,73.230003,73.82,73.75,75.239998,76.050003,76.830002,77.419998,78.029999,78.529999,79.760002,0
 Netherlands ,Europe, Population ,10381988,11026383,11805689,12596822,13329874,13852989,14310401,14665278,15174244,15604464,16122830,16570613,0
 New Zealand ,Oceania," Gross domestic product per capita, constant prices ",10556.58,12247.4,13175.68,14463.92,16046.04,16233.72,17632.41,19007.189,18363.32,21050.41,23189.801,25185.01,0
 New Zealand ,Oceania, Life expectancy ,69.389999,70.260002,71.239998,71.519997,71.889999,72.220001,73.839996,74.32,76.330002,77.550003,79.110001,80.199997,0
 New Zealand ,Oceania, Population ,1994794,2229407,2488550,2728150,2929100,3164900,3210650,3317166,3437674,3676187,3908037,4115771,0
 Nicaragua ,Americas," Gross domestic product per capita, constant prices ",3112.3601,3457.4199,3634.3601,4643.3901,4688.5898,5486.3701,3470.3401,2955.98,2170.1499,2253.02,2474.55,2749.3201,0
 Nicaragua ,Americas, Life expectancy ,42.310001,45.43,48.630001,51.880001,55.150002,57.470001,59.299999,62.009998,65.839996,68.43,70.839996,72.900002,0
 Nicaragua ,Americas, Population ,1165790,1358828,1590597,1865490,2182908,2554598,2979423,3344353,4017939,4609572,5146848,5675356,0
 Niger ,Africa," Gross domestic product per capita, constant prices ",761.88,835.52002,997.77002,1054.38,954.21002,808.90002,909.71997,668.29999,581.17999,580.31,601.07001,619.67999,0
 Niger ,Africa, Life expectancy ,37.439999,38.599998,39.490002,40.119999,40.549999,41.290001,42.599998,44.560001,47.389999,51.310001,54.5,56.869999,0
 Niger ,Africa, Population ,3379468,3692184,4076008,4534062,5060262,5682086,6437188,7332638,8392818,9666252,11140655,12894865,0
 Nigeria ,Africa," Gross domestic product per capita, constant prices ",1077.28,1100.59,1150.9301,1014.51,1698.39,1981.95,1576.97,1385.03,1619.85,1624.9399,1615.29,2013.98,0
 Nigeria ,Africa, Life expectancy ,36.32,37.799999,39.360001,41.040001,42.82,44.509998,45.830002,46.889999,47.470001,47.459999,46.610001,46.860001,0
 Nigeria ,Africa, Population ,33119096,37173340,41871352,47287752,53740084,62209172,73039376,81551520,93364240,106207840,119901272,135031168,0
 Norway ,Europe," Gross domestic product per capita, constant prices ",10095.42,11653.97,13450.4,16361.88,18965.061,23311.35,26298.641,31540.971,33965.66,41283.16,44683.98,49357.191,0
 Norway ,Europe, Life expectancy ,72.669998,73.440002,73.470001,74.080002,74.339996,75.370003,75.970001,75.889999,77.32,78.32,79.050003,80.199997,0
 Norway ,Europe, Population ,3327728,3491938,3638919,3786019,3933004,4043205,4114787,4186147,4286357,4405672,4535591,4627926,0
 Oman ,Asia," Gross domestic product per capita, constant prices ",1828.23,2242.75,2924.6399,4720.9399,10618.04,11848.34,12954.79,18115.221,18616.711,19702.061,19774.84,22316.189,0
 Oman ,Asia, Life expectancy ,37.580002,40.080002,43.169998,46.990002,52.139999,57.369999,62.73,67.730003,71.199997,72.5,74.190002,75.639999,0
 Oman ,Asia, Population ,507833,561977,628164,714775,829050,1004533,1301048,1593882,1915208,2283635,2713462,3204897,0
 Pakistan ,Asia," Gross domestic product per capita, constant prices ",684.59998,747.08002,803.34003,942.40997,1049.9399,1175.92,1443.4301,1704.6899,1971.83,2049.3501,2092.71,2605.95,0
 Pakistan ,Asia, Life expectancy ,43.439999,45.560001,47.669998,49.799999,51.93,54.040001,56.16,58.25,60.84,61.82,63.610001,65.480003,0
 Pakistan ,Asia, Population ,41346560,46679944,53100672,60641900,69325920,78152688,91462088,105186880,120065008,135564832,153403520,169270624,0
 Panama ,Americas," Gross domestic product per capita, constant prices ",2480.3799,2961.8,3536.54,4421.0098,5364.25,5351.9102,7009.6001,7034.7798,6618.7402,7113.6899,7356.0298,9809.1904,0
 Panama ,Americas, Life expectancy ,55.189999,59.200001,61.82,64.07,66.220001,68.68,70.470001,71.519997,72.459999,73.739998,74.709999,75.540001,0
 Panama ,Americas, Population ,940080,1063506,1215725,1405486,1616384,1839782,2036305,2253639,2484997,2734531,2990875,3242173,0
 Paraguay ,Americas," Gross domestic product per capita, constant prices ",1952.3101,2046.15,2148.03,2299.3799,2523.3401,3248.3701,4258.5,3998.8799,4196.4102,4247.3999,3783.6699,4172.8398,0
 Paraguay ,Americas, Life expectancy ,62.650002,63.200001,64.360001,64.949997,65.82,66.349998,66.870003,67.379997,68.230003,69.400002,70.760002,71.75,0
 Paraguay ,Americas, Population ,1555876,1770902,2009813,2287985,2614104,2984494,3366439,3886512,4483945,5154123,5884491,6667147,0
 Peru ,Americas," Gross domestic product per capita, constant prices ",3758.52,4245.2598,4957.04,5788.0898,5937.8301,6281.29,6434.5,6360.9399,4446.3799,5838.3501,5909.02,7408.9102,0
 Peru ,Americas, Life expectancy ,43.900002,46.259998,49.099998,51.450001,55.450001,58.450001,61.41,64.129997,66.459999,68.389999,69.910004,71.419998,0
 Peru ,Americas, Population ,8025700,9146100,10516500,12132200,13954700,15990099,18125128,20195924,22430448,24748122,26769436,28674756,0
 Philippines ,Asia," Gross domestic product per capita, constant prices ",1272.88,1547.9399,1649.55,1814.13,1989.37,2373.2,2603.27,2189.6299,2279.3201,2536.53,2650.9199,3190.48,0
 Philippines ,Asia, Life expectancy ,47.75,51.330002,54.759998,56.389999,58.07,60.060001,62.080002,64.150002,66.459999,68.559998,70.300003,71.690002,0
 Philippines ,Asia, Population ,22438692,26072194,30325264,35356600,40850140,46850960,53456776,60017788,67185768,75012992,82995088,91077288,0
 Poland ,Europe," Gross domestic product per capita, constant prices ",4029.3301,4734.25,5338.75,6557.1499,8006.5098,9508.1396,8451.5303,9082.3496,7738.8799,10159.58,12002.24,15389.92,0
 Poland ,Europe, Life expectancy ,61.310001,65.769997,67.639999,69.610001,70.849998,70.669998,71.32,70.980003,70.989998,72.75,74.669998,75.559998,0
 Poland ,Europe, Population ,25730552,28235346,30329616,31785378,33039544,34621256,36227380,37740712,38370696,38654956,38625976,38518240,0
 Portugal ,Europe," Gross domestic product per capita, constant prices ",3068.3201,3774.5701,4727.9502,6361.52,9022.25,10172.49,11753.84,13039.31,16207.27,17641.029,19970.91,20509.65,0
 Portugal ,Europe, Life expectancy ,59.82,61.509998,64.389999,66.599998,69.260002,70.410004,72.769997,74.059998,74.860001,75.970001,77.290001,78.099998,0
 Portugal ,Europe, Population ,8526050,8817650,9019800,9103000,8970450,9662600,9859650,9915289,9927680,10156415,10433867,10642836,0
 Puerto Rico ,Americas," Gross domestic product per capita, constant prices ",3081.96,3907.1599,5108.3398,6929.2798,9123.04,9770.5195,10330.99,12281.34,14641.59,16999.43,18855.609,19328.711,0
 Puerto Rico ,Americas, Life expectancy ,64.279999,68.540001,69.620003,71.099998,72.160004,73.440002,73.75,74.629997,73.910004,74.919998,77.779999,78.75,0
 Puerto Rico ,Americas, Population ,2227000,2260000,2448046,2648961,2847132,3080828,3279001,3444468,3585176,3759430,3859606,3942491,0
 Reunion ,Africa," Gross domestic product per capita, constant prices ",2718.8899,2769.45,3173.72,4021.1799,5047.6602,4319.7998,5267.2202,5303.3799,6101.2598,6071.9399,6316.1699,7670.1201,0
 Reunion ,Africa, Life expectancy ,52.720001,55.09,57.669998,60.540001,64.269997,67.059998,69.889999,71.910004,73.620003,74.769997,75.739998,76.440002,0
 Reunion ,Africa, Population ,257700,308700,358900,414024,461633,492095,517810,562035,622191,684810,743981,798094,0
 Romania ,Europe," Gross domestic product per capita, constant prices ",3144.6101,3943.3701,4735,6470.8701,8011.4102,9356.4004,9605.3096,9696.2695,6598.4102,7346.5498,7885.3599,10808.48,0
 Romania ,Europe, Life expectancy ,61.049999,64.099998,66.800003,66.800003,69.209999,69.459999,69.660004,69.529999,69.360001,69.720001,71.32,72.480003,0
 Romania ,Europe, Population ,16630000,17829328,18680720,19284814,20662648,21658596,22356726,22686372,22797028,22562458,22404336,22276056,0
 Rwanda ,Africa," Gross domestic product per capita, constant prices ",493.32001,540.28998,597.46997,510.95999,590.58002,670.08002,881.57001,847.98999,737.07001,589.94,785.65002,863.09003,0
 Rwanda ,Africa, Life expectancy ,40,41.5,43,44.099998,44.599998,45,46.220001,44.02,23.6,36.09,43.41,46.240002,0
 Rwanda ,Africa, Population ,2534927,2822082,3051242,3451079,3992121,4657072,5507565,6349365,7290203,7212583,7852401,8860588,0
 Sao Tome and Principe ,Africa," Gross domestic product per capita, constant prices ",879.58002,860.73999,1071.55,1384.84,1532.99,1737.5601,1890.22,1516.53,1428.78,1339.08,1353.09,1598.4399,0
 Sao Tome and Principe ,Africa, Life expectancy ,46.470001,48.950001,51.889999,54.43,56.48,58.549999,60.349998,61.73,62.740002,63.310001,64.339996,65.529999,0
 Sao Tome and Principe ,Africa, Population ,60011,61325,65345,70787,76595,86796,98593,110812,125911,145608,170372,199579,0
 Saudi Arabia ,Asia," Gross domestic product per capita, constant prices ",6459.5498,8157.5898,11626.42,16903.051,24837.43,34167.762,33693.18,21198.26,24841.619,20586.689,19014.539,21654.83,0
 Saudi Arabia ,Asia, Life expectancy ,39.880001,42.869999,45.91,49.900002,53.889999,58.689999,63.009998,66.300003,68.769997,70.529999,71.629997,72.779999,0
 Saudi Arabia ,Asia, Population ,4005677,4419650,4943029,5618198,6472756,8128505,11254672,14619745,16945856,21229760,24501530,27601038,0
 Senegal ,Africa," Gross domestic product per capita, constant prices ",1450.36,1567.65,1654.99,1612.4,1597.71,1561.77,1518.48,1441.72,1367.9,1392.37,1519.64,1712.47,0
 Senegal ,Africa, Life expectancy ,37.279999,39.330002,41.450001,43.560001,45.82,48.880001,52.380001,55.77,58.200001,60.189999,61.599998,63.060001,0
 Senegal ,Africa, Population ,2755589,3054547,3430243,3965841,4588696,5260855,6147783,7171347,8307920,9535314,10870037,12267493,0
 Serbia ,Europe," Gross domestic product per capita, constant prices ",3581.46,4981.0898,6289.6299,7991.71,10522.07,12980.67,15181.09,15870.88,9325.0703,7914.3198,7236.0801,9786.5303,0
 Serbia ,Europe, Life expectancy ,58,61.689999,64.529999,66.910004,68.699997,70.300003,70.160004,71.220001,71.660004,72.230003,73.209999,74,0
 Serbia ,Europe, Population ,6860147,7271135,7616060,7971222,8313288,8686367,9032824,9230783,9826397,10336594,10111559,10150265,0
 Sierra Leone ,Africa," Gross domestic product per capita, constant prices ",879.78998,1004.48,1116.64,1206.04,1353.76,1348.29,1465.01,1294.45,1068.7,574.65002,699.48999,862.53998,0
 Sierra Leone ,Africa, Life expectancy ,30.33,31.57,32.77,34.110001,35.400002,36.790001,38.450001,40.009998,38.330002,39.900002,41.009998,42.57,0
 Sierra Leone ,Africa, Population ,2143249,2295678,2467895,2662190,2879013,3140897,3464522,3868905,4260884,4578212,5359092,6144562,0
 Singapore ,Asia," Gross domestic product per capita, constant prices ",2315.1399,2843.1001,3674.74,4977.4199,8597.7598,11210.09,15169.16,18861.529,24769.891,33519.48,36023.109,47143.18,0
 Singapore ,Asia, Life expectancy ,60.400002,63.18,65.800003,67.949997,69.519997,70.800003,71.760002,73.559998,75.790001,77.160004,78.769997,79.970001,0
 Singapore ,Asia, Population ,1127000,1445929,1750200,1977600,2152400,2325300,2651869,2794552,3235865,3802309,4197776,4553009,0
 Slovak Republic ,Europe," Gross domestic product per capita, constant prices ",5074.6602,6093.2598,7481.1099,8412.9004,9674.1699,10922.66,11348.55,12037.27,9498.4697,12126.23,13638.78,18678.311,0
 Slovak Republic ,Europe, Life expectancy ,64.360001,67.449997,70.330002,70.980003,70.349998,70.449997,70.800003,71.080002,71.379997,72.709999,73.800003,74.660004,0
 Slovak Republic ,Europe, Population ,3558137,3844277,4237384,4442238,4593433,4827803,5048043,5199318,5302888,5383010,5410052,5447502,0
 Slovenia ,Europe," Gross domestic product per capita, constant prices ",4215.04,5862.2798,7402.2998,9405.4902,12383.49,15277.03,17866.721,18678.529,14214.72,17161.109,20660.02,25768.26,0
 Slovenia ,Europe, Life expectancy ,65.57,67.849998,69.150002,69.18,69.82,70.970001,71.059998,72.25,73.639999,75.129997,76.660004,77.93,0
 Slovenia ,Europe, Population ,1489518,1533070,1582962,1646912,1694510,1746919,1861252,1945870,1999210,2011612,2011497,2009245,0
 Somalia ,Africa," Gross domestic product per capita, constant prices ",1135.75,1258.15,1369.49,1284.73,1254.58,1450.99,1176.8101,1093.24,926.96002,930.59998,882.08002,926.14001,0
 Somalia ,Africa, Life expectancy ,32.98,34.98,36.98,38.98,40.970001,41.970001,42.959999,44.5,39.66,43.799999,45.939999,48.16,0
 Somalia ,Africa, Population ,2526994,2780415,3080153,3428839,3840161,4353666,5828892,6921858,6099799,6633514,7753310,9118773,0
 South Africa ,Africa," Gross domestic product per capita, constant prices ",4725.2998,5487.1001,5768.73,7114.48,7765.96,8028.6499,8568.2695,7825.8198,7225.0698,7479.1899,7710.9502,9269.6602,0
