 country 	 continent 	 subject 	1952	1957	1962	1967	1972	1977	1982	1987	1992	1997	2002	2007
 Ethiopia 	 Africa 	 Population 	"20,860,941.00"	"22,815,614.00"	"25,145,372.00"	"27,860,297.00"	"30,770,372.00"	"34,617,799.00"	"38,111,756.00"	"42,999,530.00"	"52,088,559.00"	"59,861,301.00"	"67,946,797.00"	"76,511,887.00"
 Finland 	 Europe 	" Gross domestic product per capita, constant prices "	"6,424.52"	"7,545.42"	"9,371.84"	"10,921.64"	"14,358.88"	"15,605.42"	"18,533.16"	"21,141.01"	"20,647.16"	"23,723.95"	"28,204.59"	"33,207.08"
 Finland 	 Europe 	 Life expectancy 	66.55	67.49	68.75	69.83	70.87	72.52	74.55	74.83	75.7	77.13	78.37	79.31
 Finland 	 Europe 	 Population 	"4,090,500.00"	"4,324,000.00"	"4,491,443.00"	"4,605,744.00"	"4,639,657.00"	"4,738,902.00"	"4,826,933.00"	"4,931,729.00"	"5,041,039.00"	"5,134,406.00"	"5,193,039.00"	"5,238,460.00"
 France 	 Europe 	" Gross domestic product per capita, constant prices "	"7,029.81"	"8,662.83"	"10,560.49"	"12,999.92"	"16,107.19"	"18,292.64"	"20,293.90"	"22,066.44"	"24,703.80"	"25,889.78"	"28,926.03"	"30,470.02"
 France 	 Europe 	 Life expectancy 	67.41	68.93	70.51	71.55	72.38	73.83	74.89	76.34	77.46	78.64	79.59	80.66
 France 	 Europe 	 Population 	"42,459,667.00"	"44,310,863.00"	"47,124,000.00"	"49,569,000.00"	"51,732,000.00"	"53,165,019.00"	"54,433,565.00"	"55,630,100.00"	"57,374,179.00"	"58,623,428.00"	"59,925,035.00"	"61,083,916.00"
 Gabon 	 Africa 	" Gross domestic product per capita, constant prices "	"4,293.48"	"4,976.20"	"6,631.46"	"8,358.76"	"11,401.95"	"21,745.57"	"15,113.36"	"11,864.41"	"13,522.16"	"14,722.84"	"12,521.71"	"13,206.48"
 Gabon 	 Africa 	 Life expectancy 	37	39	40.49	44.6	48.69	52.79	56.56	60.19	61.37	60.46	56.76	56.74
 Gabon 	 Africa 	 Population 	"420,702.00"	"434,904.00"	"455,661.00"	"489,004.00"	"537,977.00"	"706,367.00"	"753,874.00"	"880,397.00"	"985,739.00"	"1,126,189.00"	"1,299,304.00"	"1,454,867.00"
 Gambia 	 Africa 	" Gross domestic product per capita, constant prices "	485.23	520.93	599.65	734.78	756.09	884.76	835.81	611.66	665.62	653.73	660.59	752.75
 Gambia 	 Africa 	 Life expectancy 	30	32.07	33.9	35.86	38.31	41.84	45.58	49.27	52.64	55.86	58.04	59.45
 Gambia 	 Africa 	 Population 	"284,320.00"	"323,150.00"	"374,020.00"	"439,593.00"	"517,101.00"	"608,274.00"	"715,523.00"	"848,406.00"	"1,025,384.00"	"1,235,767.00"	"1,457,766.00"	"1,688,359.00"
 Germany 	 Europe 	" Gross domestic product per capita, constant prices "	"7,144.11"	"10,187.83"	"12,902.46"	"14,745.63"	"18,016.18"	"20,512.92"	"22,031.53"	"24,639.19"	"26,505.30"	"27,788.88"	"30,035.80"	"32,170.37"
 Germany 	 Europe 	 Life expectancy 	67.5	69.1	70.3	70.8	71	72.5	73.8	74.85	76.07	77.34	78.67	79.41
 Germany 	 Europe 	 Population 	"69,145,952.00"	"71,019,069.00"	"73,739,117.00"	"76,368,453.00"	"78,717,088.00"	"78,160,773.00"	"78,335,266.00"	"77,718,298.00"	"80,597,764.00"	"82,011,073.00"	"82,350,671.00"	"82,400,996.00"
 Ghana 	 Africa 	" Gross domestic product per capita, constant prices "	911.3	"1,043.56"	"1,190.04"	"1,125.70"	"1,178.22"	993.22	876.03	847.01	925.06	"1,005.25"	"1,111.98"	"1,327.61"
 Ghana 	 Africa 	 Life expectancy 	43.15	44.78	46.45	48.07	49.88	51.76	53.74	55.73	57.5	58.56	58.45	60.02
 Ghana 	 Africa 	 Population 	"5,581,001.00"	"6,391,288.00"	"7,355,248.00"	"8,490,213.00"	"9,354,120.00"	"10,538,093.00"	"11,400,338.00"	"14,168,101.00"	"16,278,738.00"	"18,418,288.00"	"20,550,751.00"	"22,873,338.00"
 Greece 	 Europe 	" Gross domestic product per capita, constant prices "	"3,530.69"	"4,916.30"	"6,017.19"	"8,513.10"	"12,724.83"	"14,195.52"	"15,268.42"	"16,120.53"	"17,541.50"	"18,747.70"	"22,514.25"	"27,538.41"
 Greece 	 Europe 	 Life expectancy 	65.86	67.86	69.51	71	72.34	73.68	75.24	76.67	77.03	77.87	78.26	79.48
 Greece 	 Europe 	 Population 	"7,733,250.00"	"8,096,218.00"	"8,448,233.00"	"8,716,441.00"	"8,888,628.00"	"9,308,479.00"	"9,786,480.00"	"9,974,490.00"	"10,325,429.00"	"10,502,372.00"	"10,603,863.00"	"10,706,290.00"
 Guatemala 	 Americas 	" Gross domestic product per capita, constant prices "	"2,428.24"	"2,617.16"	"2,750.36"	"3,242.53"	"4,031.41"	"4,879.99"	"4,820.49"	"4,246.49"	"4,439.45"	"4,684.31"	"4,858.35"	"5,186.05"
 Guatemala 	 Americas 	 Life expectancy 	42.02	44.14	46.95	50.02	53.74	56.03	58.14	60.78	63.37	66.32	68.98	70.26
 Guatemala 	 Americas 	 Population 	"3,146,381.00"	"3,640,876.00"	"4,208,858.00"	"4,690,773.00"	"5,149,581.00"	"5,703,430.00"	"6,395,630.00"	"7,326,406.00"	"8,486,949.00"	"9,803,875.00"	"11,178,650.00"	"12,572,928.00"
 Guinea 	 Africa 	" Gross domestic product per capita, constant prices "	510.2	576.27	686.37	708.76	741.67	874.69	857.25	805.57	794.35	869.45	945.58	942.65
 Guinea 	 Africa 	 Life expectancy 	33.61	34.56	35.75	37.2	38.84	40.76	42.89	45.55	48.58	51.46	53.68	56.01
 Guinea 	 Africa 	 Population 	"2,664,249.00"	"2,876,726.00"	"3,140,003.00"	"3,451,418.00"	"3,811,387.00"	"4,227,026.00"	"4,710,497.00"	"5,650,262.00"	"6,990,574.00"	"8,048,834.00"	"8,807,818.00"	"9,947,814.00"
 Guinea-Bissau 	 Africa 	" Gross domestic product per capita, constant prices "	299.85	431.79	522.03	715.58	820.22	764.73	838.12	736.42	745.54	796.66	575.7	579.23
 Guinea-Bissau 	 Africa 	 Life expectancy 	32.5	33.49	34.49	35.49	36.49	37.47	39.33	41.25	43.27	44.87	45.5	46.39
 Guinea-Bissau 	 Africa 	 Population 	"580,653.00"	"601,095.00"	"627,820.00"	"601,287.00"	"625,361.00"	"745,228.00"	"825,987.00"	"927,524.00"	"1,050,938.00"	"1,193,708.00"	"1,332,459.00"	"1,472,041.00"
 Haiti 	 Americas 	" Gross domestic product per capita, constant prices "	"1,840.37"	"1,726.89"	"1,796.59"	"1,452.06"	"1,654.46"	"1,874.30"	"2,011.16"	"1,823.02"	"1,456.31"	"1,341.73"	"1,270.36"	"1,201.64"
 Haiti 	 Americas 	 Life expectancy 	37.58	40.7	43.59	46.24	48.04	49.92	51.46	53.64	55.09	56.67	58.14	60.92
 Haiti 	 Americas 	 Population 	"3,201,488.00"	"3,507,701.00"	"3,880,130.00"	"4,318,137.00"	"4,698,301.00"	"4,908,554.00"	"5,198,399.00"	"5,756,203.00"	"6,326,682.00"	"6,913,545.00"	"7,607,651.00"	"8,502,814.00"
 Honduras 	 Americas 	" Gross domestic product per capita, constant prices "	"2,194.93"	"2,220.49"	"2,291.16"	"2,538.27"	"2,529.84"	"3,203.21"	"3,121.76"	"3,023.10"	"3,081.69"	"3,160.45"	"3,099.73"	"3,548.33"
 Honduras 	 Americas 	 Life expectancy 	41.91	44.67	48.04	50.92	53.88	57.4	60.91	64.49	66.4	67.66	68.57	70.2
 Honduras 	 Americas 	 Population 	"1,517,453.00"	"1,770,390.00"	"2,090,162.00"	"2,500,689.00"	"2,965,146.00"	"3,055,235.00"	"3,669,448.00"	"4,372,203.00"	"5,077,347.00"	"5,867,957.00"	"6,677,328.00"	"7,483,763.00"
" Hong Kong, China "	 Asia 	" Gross domestic product per capita, constant prices "	"3,054.42"	"3,629.08"	"4,692.65"	"6,197.96"	"8,315.93"	"11,186.14"	"14,560.53"	"20,038.47"	"24,757.60"	"28,377.63"	"30,209.02"	"39,724.98"
" Hong Kong, China "	 Asia 	 Life expectancy 	60.96	64.75	67.65	70	72	73.6	75.45	76.2	77.6	80	81.5	82.21
" Hong Kong, China "	 Asia 	 Population 	"2,125,900.00"	"2,736,300.00"	"3,305,200.00"	"3,722,800.00"	"4,115,700.00"	"4,583,700.00"	"5,264,500.00"	"5,584,510.00"	"5,829,696.00"	"6,495,918.00"	"6,762,476.00"	"6,980,412.00"
 Hungary 	 Europe 	" Gross domestic product per capita, constant prices "	"5,263.67"	"6,040.18"	"7,550.36"	"9,326.64"	"10,168.66"	"11,674.84"	"12,545.99"	"12,986.48"	"10,535.63"	"11,712.78"	"14,843.94"	"18,008.94"
 Hungary 	 Europe 	 Life expectancy 	64.03	66.41	67.96	69.5	69.76	69.95	69.39	69.58	69.17	71.04	72.59	73.34
 Hungary 	 Europe 	 Population 	"9,504,000.00"	"9,839,000.00"	"10,063,000.00"	"10,223,422.00"	"10,394,091.00"	"10,637,171.00"	"10,705,535.00"	"10,612,740.00"	"10,348,684.00"	"10,244,684.00"	"10,083,313.00"	"9,956,108.00"
 Iceland 	 Europe 	" Gross domestic product per capita, constant prices "	"7,267.69"	"9,244.00"	"10,350.16"	"13,319.90"	"15,798.06"	"19,654.96"	"23,269.61"	"26,923.21"	"25,144.39"	"28,061.10"	"31,163.20"	"36,180.79"
 Iceland 	 Europe 	 Life expectancy 	72.49	73.47	73.68	73.73	74.46	76.11	76.99	77.23	78.77	78.95	80.5	81.76
 Iceland 	 Europe 	 Population 	"147,962.00"	"165,110.00"	"182,053.00"	"198,676.00"	"209,275.00"	"221,823.00"	"233,997.00"	"244,676.00"	"259,012.00"	"271,192.00"	"288,030.00"	"301,931.00"
 India 	 Asia 	" Gross domestic product per capita, constant prices "	546.57	590.06	658.35	700.77	724.03	813.34	855.72	976.51	"1,164.41"	"1,458.82"	"1,746.77"	"2,452.21"
 India 	 Asia 	 Life expectancy 	37.37	40.25	43.61	47.19	50.65	54.21	56.6	58.55	60.22	61.77	62.88	64.7
 India 	 Asia 	 Population 	"372,000,000.00"	"409,000,000.00"	"454,000,000.00"	"506,000,000.00"	"567,000,000.00"	"634,000,000.00"	"708,000,000.00"	"788,000,000.00"	"872,000,000.00"	"959,000,000.00"	"1,034,172,547.00"	"1,110,396,331.00"
 Indonesia 	 Asia 	" Gross domestic product per capita, constant prices "	749.68	858.9	849.29	762.43	"1,111.11"	"1,382.70"	"1,516.87"	"1,748.36"	"2,383.14"	"3,119.34"	"2,873.91"	"3,540.65"
 Indonesia 	 Asia 	 Life expectancy 	37.47	39.92	42.52	45.96	49.2	52.7	56.16	60.14	62.68	66.04	68.59	70.65
 Indonesia 	 Asia 	 Population 	"82,052,000.00"	"90,124,000.00"	"99,028,000.00"	"109,343,000.00"	"121,282,000.00"	"136,725,000.00"	"153,343,000.00"	"169,276,000.00"	"184,816,000.00"	"199,278,000.00"	"211,060,000.00"	"223,547,000.00"
 Iran 	 Asia 	" Gross domestic product per capita, constant prices "	"3,035.33"	"3,290.26"	"4,187.33"	"5,906.73"	"9,613.82"	"11,888.60"	"7,608.33"	"6,642.88"	"7,235.65"	"8,263.59"	"9,240.76"	"11,605.71"
 Iran 	 Asia 	 Life expectancy 	44.87	47.18	49.33	52.47	55.23	57.7	59.62	63.04	65.74	68.04	69.45	70.96
 Iran 	 Asia 	 Population 	"17,272,000.00"	"19,792,000.00"	"22,874,000.00"	"26,538,000.00"	"30,614,000.00"	"35,480,679.00"	"43,072,751.00"	"51,889,696.00"	"60,397,973.00"	"63,327,987.00"	"66,907,826.00"	"69,453,570.00"
 Iraq 	 Asia 	" Gross domestic product per capita, constant prices "	"4,129.77"	"6,229.33"	"8,341.74"	"8,931.46"	"9,576.04"	"14,688.24"	"14,517.91"	"11,643.57"	"3,745.64"	"3,076.24"	"4,390.72"	"4,471.06"
 Iraq 	 Asia 	 Life expectancy 	45.32	48.44	51.46	54.46	56.95	60.41	62.04	65.04	59.46	58.81	57.05	59.55
 Iraq 	 Asia 	 Population 	"5,441,766.00"	"6,248,643.00"	"7,240,260.00"	"8,519,282.00"	"10,061,506.00"	"11,882,916.00"	"14,173,318.00"	"16,543,189.00"	"17,861,905.00"	"20,775,703.00"	"24,001,816.00"	"27,499,638.00"
 Ireland 	 Europe 	" Gross domestic product per capita, constant prices "	"5,210.28"	"5,599.08"	"6,631.60"	"7,655.57"	"9,530.77"	"11,150.98"	"12,618.32"	"13,872.87"	"17,558.82"	"24,521.95"	"34,077.05"	"40,676.00"
 Ireland 	 Europe 	 Life expectancy 	66.91	68.9	70.29	71.08	71.28	72.03	73.1	74.36	75.47	76.12	77.78	78.89
 Ireland 	 Europe 	 Population 	"2,952,156.00"	"2,878,220.00"	"2,830,000.00"	"2,900,100.00"	"3,024,400.00"	"3,271,900.00"	"3,480,000.00"	"3,539,900.00"	"3,557,761.00"	"3,667,233.00"	"3,879,155.00"	"4,109,086.00"
 Israel 	 Asia 	" Gross domestic product per capita, constant prices "	"4,086.52"	"5,385.28"	"7,105.63"	"8,393.74"	"12,786.93"	"13,306.62"	"15,367.03"	"17,122.48"	"18,051.52"	"20,896.61"	"21,905.60"	"25,523.28"
 Israel 	 Asia 	 Life expectancy 	65.39	67.84	69.39	70.75	71.63	73.06	74.45	75.6	76.93	78.27	79.7	80.75
 Israel 	 Asia 	 Population 	"1,620,914.00"	"1,944,401.00"	"2,310,904.00"	"2,693,585.00"	"3,095,893.00"	"3,495,918.00"	"3,858,421.00"	"4,203,148.00"	"4,936,550.00"	"5,531,387.00"	"6,029,529.00"	"6,426,679.00"
 Italy 	 Europe 	" Gross domestic product per capita, constant prices "	"4,931.40"	"6,248.66"	"8,243.58"	"10,022.40"	"12,269.27"	"14,255.98"	"16,537.48"	"19,207.23"	"22,013.64"	"24,675.02"	"27,968.10"	"28,569.72"
 Italy 	 Europe 	 Life expectancy 	65.94	67.81	69.24	71.06	72.19	73.48	74.98	76.42	77.44	78.82	80.24	80.55
 Italy 	 Europe 	 Population 	"47,666,000.00"	"49,182,000.00"	"50,843,200.00"	"52,667,100.00"	"54,365,564.00"	"56,059,245.00"	"56,535,636.00"	"56,729,703.00"	"56,840,847.00"	"57,479,469.00"	"57,926,999.00"	"58,147,733.00"
 Jamaica 	 Americas 	" Gross domestic product per capita, constant prices "	"2,898.53"	"4,756.53"	"5,246.11"	"6,124.70"	"7,433.89"	"6,650.20"	"6,068.05"	"6,351.24"	"7,404.92"	"7,121.92"	"6,994.77"	"7,320.88"
 Jamaica 	 Americas 	 Life expectancy 	58.53	62.61	65.61	67.51	69	70.11	71.21	71.77	71.77	72.26	72.05	72.57
 Jamaica 	 Americas 	 Population 	"1,426,095.00"	"1,535,090.00"	"1,665,128.00"	"1,861,096.00"	"1,997,616.00"	"2,156,814.00"	"2,298,309.00"	"2,326,606.00"	"2,378,618.00"	"2,531,311.00"	"2,664,659.00"	"2,780,132.00"
 Japan 	 Asia 	" Gross domestic product per capita, constant prices "	"3,216.96"	"4,317.69"	"6,576.65"	"9,847.79"	"14,778.79"	"16,610.38"	"19,384.11"	"22,375.94"	"26,824.90"	"28,816.58"	"28,604.59"	"31,656.07"
 Japan 	 Asia 	 Life expectancy 	63.03	65.5	68.73	71.43	73.42	75.38	77.11	78.67	79.36	80.69	82	82.6
 Japan 	 Asia 	 Population 	"86,459,025.00"	"91,563,009.00"	"95,831,757.00"	"100,825,279.00"	"107,188,273.00"	"113,872,473.00"	"118,454,974.00"	"122,091,325.00"	"124,329,269.00"	"125,956,499.00"	"127,065,841.00"	"127,467,972.00"
 Jordan 	 Asia 	" Gross domestic product per capita, constant prices "	"1,546.91"	"1,886.08"	"2,348.01"	"2,741.80"	"2,110.86"	"2,852.35"	"4,161.42"	"4,448.68"	"3,431.59"	"3,645.38"	"3,844.92"	"4,519.46"
 Jordan 	 Asia 	 Life expectancy 	43.16	45.67	48.13	51.63	56.53	61.13	63.74	65.87	68.02	69.77	71.26	72.54
 Jordan 	 Asia 	 Population 	"607,914.00"	"746,559.00"	"933,559.00"	"1,255,058.00"	"1,613,551.00"	"1,937,652.00"	"2,347,031.00"	"2,820,042.00"	"3,867,409.00"	"4,526,235.00"	"5,307,470.00"	"6,053,193.00"
 Kenya 	 Africa 	" Gross domestic product per capita, constant prices "	853.54	944.44	896.97	"1,056.74"	"1,222.36"	"1,267.61"	"1,348.23"	"1,361.94"	"1,341.92"	"1,360.49"	"1,287.51"	"1,463.25"
 Kenya 	 Africa 	 Life expectancy 	42.27	44.69	47.95	50.65	53.56	56.16	58.77	59.34	59.29	54.41	50.99	54.11
 Kenya 	 Africa 	 Population 	"6,464,046.00"	"7,454,779.00"	"8,678,557.00"	"10,191,512.00"	"12,044,785.00"	"14,500,404.00"	"17,661,452.00"	"21,198,082.00"	"25,020,539.00"	"28,263,827.00"	"31,386,842.00"	"35,610,177.00"
" Korea, Dem. Rep. "	 Asia 	" Gross domestic product per capita, constant prices "	"1,088.28"	"1,571.13"	"1,621.69"	"2,143.54"	"3,701.62"	"4,106.30"	"4,106.53"	"4,106.49"	"3,726.06"	"1,690.76"	"1,646.76"	"1,593.07"
" Korea, Dem. Rep. "	 Asia 	 Life expectancy 	50.06	54.08	56.66	59.94	63.98	67.16	69.1	70.65	69.98	67.73	66.66	67.3
" Korea, Dem. Rep. "	 Asia 	 Population 	"8,865,488.00"	"9,411,381.00"	"10,917,494.00"	"12,617,009.00"	"14,781,241.00"	"16,325,320.00"	"17,647,518.00"	"19,067,554.00"	"20,711,375.00"	"21,585,105.00"	"22,215,365.00"	"23,301,725.00"
" Korea, Rep. "	 Asia 	" Gross domestic product per capita, constant prices "	"1,030.59"	"1,487.59"	"1,536.34"	"2,029.23"	"3,030.88"	"4,657.22"	"5,622.94"	"8,533.09"	"12,104.28"	"15,993.53"	"19,233.99"	"23,348.14"
" Korea, Rep. "	 Asia 	 Life expectancy 	47.45	52.68	55.29	57.72	62.61	64.77	67.12	69.81	72.24	74.65	77.05	78.62
" Korea, Rep. "	 Asia 	 Population 	"20,947,571.00"	"22,611,552.00"	"26,420,307.00"	"30,131,000.00"	"33,505,000.00"	"36,436,000.00"	"39,326,000.00"	"41,622,000.00"	"43,805,450.00"	"46,173,816.00"	"47,969,150.00"	"49,044,790.00"
 Kuwait 	 Asia 	" Gross domestic product per capita, constant prices "	"108,382.35"	"113,523.13"	"95,458.11"	"80,894.88"	"109,347.87"	"59,265.48"	"31,354.04"	"28,118.43"	"34,932.92"	"40,300.62"	"35,110.11"	"47,306.99"
 Kuwait 	 Asia 	 Life expectancy 	55.57	58.03	60.47	64.62	67.71	69.34	71.31	74.17	75.19	76.16	76.9	77.59
 Kuwait 	 Asia 	 Population 	"160,000.00"	"212,846.00"	"358,266.00"	"575,003.00"	"841,934.00"	"1,140,357.00"	"1,497,494.00"	"1,891,487.00"	"1,418,095.00"	"1,765,345.00"	"2,111,561.00"	"2,505,559.00"
 Lebanon 	 Asia 	" Gross domestic product per capita, constant prices "	"4,834.80"	"6,089.79"	"5,714.56"	"6,006.98"	"7,486.38"	"8,659.70"	"7,640.52"	"5,377.09"	"6,890.81"	"8,754.96"	"9,313.94"	"10,461.06"
 Lebanon 	 Asia 	 Life expectancy 	55.93	59.49	62.09	63.87	65.42	66.1	66.98	67.93	69.29	70.27	71.03	71.99
 Lebanon 	 Asia 	 Population 	"1,439,529.00"	"1,647,412.00"	"1,886,848.00"	"2,186,894.00"	"2,680,018.00"	"3,115,787.00"	"3,086,876.00"	"3,089,353.00"	"3,219,994.00"	"3,430,388.00"	"3,677,780.00"	"3,921,278.00"
 Lesotho 	 Africa 	" Gross domestic product per capita, constant prices "	298.85	336	411.8	498.64	496.58	745.37	797.26	773.99	977.49	"1,186.15"	"1,275.18"	"1,569.33"
 Lesotho 	 Africa 	 Life expectancy 	42.14	45.05	47.75	48.49	49.77	52.21	55.08	57.18	59.69	55.56	44.59	42.59
 Lesotho 	 Africa 	 Population 	"748,747.00"	"813,338.00"	"893,143.00"	"996,380.00"	"1,116,779.00"	"1,251,524.00"	"1,411,807.00"	"1,599,200.00"	"1,803,195.00"	"1,982,823.00"	"2,046,772.00"	"2,012,649.00"
 Liberia 	 Africa 	" Gross domestic product per capita, constant prices "	575.57	620.97	634.2	713.6	803.01	640.32	572.2	506.11	636.62	609.17	531.48	414.51
 Liberia 	 Africa 	 Life expectancy 	38.48	39.49	40.5	41.54	42.61	43.76	44.85	46.03	40.8	42.22	43.75	45.68
 Liberia 	 Africa 	 Population 	"863,308.00"	"975,950.00"	"1,112,796.00"	"1,279,406.00"	"1,482,628.00"	"1,703,617.00"	"1,956,875.00"	"2,269,414.00"	"1,912,974.00"	"2,200,725.00"	"2,814,651.00"	"3,193,942.00"
 Libya 	 Africa 	" Gross domestic product per capita, constant prices "	"2,387.55"	"3,448.28"	"6,757.03"	"18,772.75"	"21,011.50"	"21,951.21"	"17,364.28"	"11,770.59"	"9,640.14"	"9,467.45"	"9,534.68"	"12,057.50"
 Libya 	 Africa 	 Life expectancy 	42.72	45.29	47.81	50.23	52.77	57.44	62.16	66.23	68.76	71.56	72.74	73.95
 Libya 	 Africa 	 Population 	"1,019,729.00"	"1,201,578.00"	"1,441,863.00"	"1,759,224.00"	"2,183,877.00"	"2,721,783.00"	"3,344,074.00"	"3,799,845.00"	"4,364,501.00"	"4,759,670.00"	"5,368,585.00"	"6,036,914.00"
 Madagascar 	 Africa 	" Gross domestic product per capita, constant prices "	"1,443.01"	"1,589.20"	"1,643.39"	"1,634.05"	"1,748.56"	"1,544.23"	"1,302.88"	"1,155.44"	"1,040.68"	986.3	894.64	"1,044.77"
 Madagascar 	 Africa 	 Life expectancy 	36.68	38.87	40.85	42.88	44.85	46.88	48.97	49.35	52.21	54.98	57.29	59.44
 Madagascar 	 Africa 	 Population 	"4,762,912.00"	"5,181,679.00"	"5,703,324.00"	"6,334,556.00"	"7,082,430.00"	"8,007,166.00"	"9,171,477.00"	"10,568,642.00"	"12,210,395.00"	"14,165,114.00"	"16,473,477.00"	"19,167,654.00"
 Malawi 	 Africa 	" Gross domestic product per capita, constant prices "	369.17	416.37	427.9	495.51	584.62	663.22	632.8	635.52	563.2	692.28	665.42	759.35
 Malawi 	 Africa 	 Life expectancy 	36.26	37.21	38.41	39.49	41.77	43.77	45.64	47.46	49.42	47.5	45.01	48.3
 Malawi 	 Africa 	 Population 	"2,917,802.00"	"3,221,238.00"	"3,628,608.00"	"4,147,252.00"	"4,730,997.00"	"5,637,246.00"	"6,502,825.00"	"7,824,747.00"	"10,014,249.00"	"10,419,991.00"	"11,824,495.00"	"13,327,079.00"
 Malaysia 	 Asia 	" Gross domestic product per capita, constant prices "	"1,831.13"	"1,810.07"	"2,036.88"	"2,277.74"	"2,849.09"	"3,827.92"	"4,920.36"	"5,249.80"	"7,277.91"	"10,132.91"	"10,206.98"	"12,451.66"
 Malaysia 	 Asia 	 Life expectancy 	48.46	52.1	55.74	59.37	63.01	65.26	68	69.5	70.69	71.94	73.04	74.24
 Malaysia 	 Asia 	 Population 	"6,748,378.00"	"7,739,235.00"	"8,906,385.00"	"10,154,878.00"	"11,441,462.00"	"12,845,381.00"	"14,441,916.00"	"16,331,785.00"	"18,319,502.00"	"20,476,091.00"	"22,662,365.00"	"24,821,286.00"
 Mali 	 Africa 	" Gross domestic product per capita, constant prices "	452.34	490.38	496.17	545.01	581.37	686.4	618.01	684.17	739.01	790.26	951.41	"1,042.58"
 Mali 	 Africa 	 Life expectancy 	33.69	35.31	36.94	38.49	39.98	41.71	43.92	46.36	48.39	49.9	51.82	54.47
 Mali 	 Africa 	 Population 	"3,838,168.00"	"4,241,884.00"	"4,690,372.00"	"5,212,416.00"	"5,828,158.00"	"6,491,649.00"	"6,998,256.00"	"7,634,008.00"	"8,416,215.00"	"9,384,984.00"	"10,580,176.00"	"12,031,795.00"
 Mauritania 	 Africa 	" Gross domestic product per capita, constant prices "	743.12	846.12	"1,055.90"	"1,421.15"	"1,586.85"	"1,497.49"	"1,481.15"	"1,421.60"	"1,361.37"	"1,483.14"	"1,579.02"	"1,803.15"
 Mauritania 	 Africa 	 Life expectancy 	40.54	42.34	44.25	46.29	48.44	50.85	53.6	56.15	58.33	60.43	62.25	64.16
 Mauritania 	 Africa 	 Population 	"1,022,556.00"	"1,076,852.00"	"1,146,757.00"	"1,230,542.00"	"1,332,786.00"	"1,456,688.00"	"1,622,136.00"	"1,841,240.00"	"2,119,465.00"	"2,444,741.00"	"2,828,858.00"	"3,270,065.00"
 Mauritius 	 Africa 	" Gross domestic product per capita, constant prices "	"1,967.96"	"2,034.04"	"2,529.07"	"2,475.39"	"2,575.48"	"3,710.98"	"3,688.04"	"4,783.59"	"6,058.25"	"7,425.71"	"9,021.82"	"10,956.99"
 Mauritius 	 Africa 	 Life expectancy 	50.99	58.09	60.25	61.56	62.94	64.93	66.71	68.74	69.75	70.74	71.95	72.8
 Mauritius 	 Africa 	 Population 	"516,556.00"	"609,816.00"	"701,016.00"	"789,309.00"	"851,334.00"	"913,025.00"	"992,040.00"	"1,042,663.00"	"1,096,202.00"	"1,149,818.00"	"1,200,206.00"	"1,250,882.00"
 Mexico 	 Americas 	" Gross domestic product per capita, constant prices "	"3,478.13"	"4,131.55"	"4,581.61"	"5,754.73"	"6,809.41"	"7,674.93"	"9,611.15"	"8,688.16"	"9,472.38"	"9,767.30"	"10,742.44"	"11,977.57"
 Mexico 	 Americas 	 Life expectancy 	50.79	55.19	58.3	60.11	62.36	65.03	67.41	69.5	71.46	73.67	74.9	76.2
 Mexico 	 Americas 	 Population 	"30,144,317.00"	"35,015,548.00"	"41,121,485.00"	"47,995,559.00"	"55,984,294.00"	"63,759,976.00"	"71,640,904.00"	"80,122,492.00"	"88,111,030.00"	"95,895,146.00"	"102,479,927.00"	"108,700,891.00"
 Mongolia 	 Asia 	" Gross domestic product per capita, constant prices "	786.57	912.66	"1,056.35"	"1,226.04"	"1,421.74"	"1,647.51"	"2,000.60"	"2,338.01"	"1,785.40"	"1,902.25"	"2,140.74"	"3,095.77"
 Mongolia 	 Asia 	 Life expectancy 	42.24	45.25	48.25	51.25	53.75	55.49	57.49	60.22	61.27	63.63	65.03	66.8
 Mongolia 	 Asia 	 Population 	"800,663.00"	"882,134.00"	"1,010,280.00"	"1,149,500.00"	"1,320,500.00"	"1,528,000.00"	"1,756,032.00"	"2,015,133.00"	"2,312,802.00"	"2,494,803.00"	"2,674,234.00"	"2,874,127.00"
 Montenegro 	 Europe 	" Gross domestic product per capita, constant prices "	"2,647.59"	"3,682.26"	"4,649.59"	"5,907.85"	"7,778.41"	"9,595.93"	"11,222.59"	"11,732.51"	"7,003.34"	"6,465.61"	"6,557.19"	"9,253.90"
 Montenegro 	 Europe 	 Life expectancy 	59.16	61.45	63.73	67.18	70.64	73.07	74.1	74.87	75.44	75.45	73.98	74.54
 Montenegro 	 Europe 	 Population 	"413,834.00"	"442,829.00"	"474,528.00"	"501,035.00"	"527,678.00"	"560,073.00"	"562,548.00"	"569,473.00"	"621,621.00"	"692,651.00"	"720,230.00"	"684,736.00"
 Morocco 	 Africa 	" Gross domestic product per capita, constant prices "	"1,688.20"	"1,642.00"	"1,566.35"	"1,711.04"	"1,930.19"	"2,370.62"	"2,702.62"	"2,755.05"	"2,948.05"	"2,982.10"	"3,258.50"	"3,820.18"
 Morocco 	 Africa 	 Life expectancy 	42.87	45.42	47.92	50.34	52.86	55.73	59.65	62.68	65.39	67.66	69.62	71.16
