country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
 Israel , Asia , Life expectancy ,65.39,67.84,69.39,70.75,71.63,73.06,74.45,75.59999999999999,76.93000000000001,78.27,79.7,80.75
 Israel , Asia , Life expectancy ,65.39,67.84,69.39,70.75,71.63,73.06,74.45,75.59999999999999,76.93000000000001,78.27,79.7,80.75
 Israel , Asia , Population ,,1944401,2310904,2693585,3095893,3495918,3858421,4203148,4936550,5531387,6029529,6426679
 Italy , Europe ," Gross domestic product per capita, constant prices ",,6248.66,8243.58,10022.4,12269.27,14255.98,16537.48,19207.23,22013.64,24675.02,27968.1,28569.72
 Italy , Europe , Life expectancy ,65.94,67.81,69.23999999999999,71.06,72.19,73.48,74.98,76.42,77.44,78.81999999999999,80.23999999999999,80.55
 Italy , Europe , Population ,,49182000,50843200,52667100,54365564,56059245,56535636,56729703,56840847,57479469,57926999,58147733
 Jamaica , Americas ," Gross domestic product per capita, constant prices ",,4756.53,5246.11,6124.7,7433.89,6650.2,6068.05,6351.24,7404.92,7121.92,6994.77,7320.88
 Jamaica , Americas , Life expectancy ,58.53,62.61,65.61,67.51000000000001,69,70.11,71.20999999999999,71.77,71.77,72.26000000000001,72.05,72.56999999999999
 Jamaica , Americas , Population ,,1535090,1665128,1861096,1997616,2156814,2298309,2326606,2378618,2531311,2664659,2780132
 Japan , Asia ," Gross domestic product per capita, constant prices ",,4317.69,6576.65,9847.790000000001,14778.79,16610.38,19384.11,22375.94,26824.9,28816.58,28604.59,31656.07
 Japan , Asia , Life expectancy ,63.03,65.5,68.73,71.43000000000001,73.42,75.38,77.11,78.67,79.36,80.69,82,82.59999999999999
 Japan , Asia , Population ,,91563009,95831757,100825279,107188273,113872473,118454974,122091325,124329269,125956499,127065841,127467972
 Jordan , Asia ," Gross domestic product per capita, constant prices ",,1886.08,2348.01,2741.8,2110.86,2852.35,4161.42,4448.68,3431.59,3645.38,3844.92,4519.46
 Jordan , Asia , Life expectancy ,43.16,45.67,48.13,51.63,56.53,61.13,63.74,65.87,68.02,69.77,71.26000000000001,72.54000000000001
 Jordan , Asia , Population ,,746559,933559,1255058,1613551,1937652,2347031,2820042,3867409,4526235,5307470,6053193
 Kenya , Africa ," Gross domestic product per capita, constant prices ",853.54,944.4400000000001,896.97,1056.74,1222.36,1267.61,1348.23,1361.94,1341.92,1360.49,1287.51,1463.25
 Kenya , Africa , Life expectancy ,42.27,44.69,47.95,50.65,53.56,56.16,58.77,59.34,59.29,54.41,50.99,54.11
 Kenya , Africa , Population ,,7454779,8678557,10191512,12044785,14500404,17661452,21198082,25020539,28263827,31386842,35610177
" Korea, Dem. Rep. ", Asia ," Gross domestic product per capita, constant prices ",,1571.13,1621.69,2143.54,3701.62,4106.3,4106.53,4106.49,3726.06,1690.76,1646.76,1593.07
" Korea, Dem. Rep. ", Asia , Life expectancy ,50.06,54.08,56.66,59.94,63.98,67.16,69.09999999999999,70.65000000000001,69.98,67.73,66.66,67.3
" Korea, Dem. Rep. ", Asia , Population ,,9411381,10917494,12617009,14781241,16325320,17647518,19067554,20711375,21585105,22215365,23301725
" Korea, Rep. ", Asia ," Gross domestic product per capita, constant prices ",,1487.59,1536.34,2029.23,3030.88,4657.22,5622.94,8533.09,12104.28,15993.53,19233.99,23348.14
" Korea, Rep. ", Asia , Life expectancy ,47.45,52.68,55.29,57.72,62.61,64.77,67.12,69.81,72.23999999999999,74.65000000000001,77.05,78.62
" Korea, Rep. ", Asia , Population ,,22611552,26420307,30131000,33505000,36436000,39326000,41622000,43805450,46173816,47969150,49044790
 Kuwait , Asia ," Gross domestic product per capita, constant prices ",,113523.13,95458.11,80894.88,109347.87,59265.48,31354.04,28118.43,34932.92,40300.62,35110.11,47306.99
 Kuwait , Asia , Life expectancy ,55.57,58.03,60.47,64.62,67.70999999999999,69.34,71.31,74.17,75.19,76.16,76.90000000000001,77.59
 Kuwait , Asia , Population ,,212846,358266,575003,841934,1140357,1497494,1891487,1418095,1765345,2111561,2505559
 Lebanon , Asia ," Gross domestic product per capita, constant prices ",,6089.79,5714.56,6006.98,7486.38,8659.700000000001,7640.52,5377.09,6890.81,8754.959999999999,9313.940000000001,10461.06
 Lebanon , Asia , Life expectancy ,55.93,59.49,62.09,63.87,65.42,66.09999999999999,66.98,67.93000000000001,69.29000000000001,70.27,71.03,71.98999999999999
 Lebanon , Asia , Population ,,1647412,1886848,2186894,2680018,3115787,3086876,3089353,3219994,3430388,3677780,3921278
 Lesotho , Africa ," Gross domestic product per capita, constant prices ",298.85,336,411.8,498.64,496.58,745.37,797.26,773.99,977.49,1186.15,1275.18,1569.33
 Lesotho , Africa , Life expectancy ,42.14,45.05,47.75,48.49,49.77,52.21,55.08,57.18,59.69,55.56,44.59,42.59
 Lesotho , Africa , Population ,,813338,893143,996380,1116779,1251524,1411807,1599200,1803195,1982823,2046772,2012649
 Liberia , Africa ," Gross domestic product per capita, constant prices ",575.5700000000001,620.97,634.2,713.6,803.01,640.3200000000001,572.2,506.11,636.62,609.17,531.48,414.51
 Liberia , Africa , Life expectancy ,38.48,39.49,40.5,41.54,42.61,43.76,44.85,46.03,40.8,42.22,43.75,45.68
 Liberia , Africa , Population ,,975950,1112796,1279406,1482628,1703617,1956875,2269414,1912974,2200725,2814651,3193942
 Libya , Africa ," Gross domestic product per capita, constant prices ",,3448.28,6757.03,18772.75,21011.5,21951.21,17364.28,11770.59,9640.139999999999,9467.450000000001,9534.68,12057.5
 Libya , Africa , Life expectancy ,42.72,45.29,47.81,50.23,52.77,57.44,62.16,66.23,68.76000000000001,71.56,72.73999999999999,73.95
 Libya , Africa , Population ,,1201578,1441863,1759224,2183877,2721783,3344074,3799845,4364501,4759670,5368585,6036914
 Madagascar , Africa ," Gross domestic product per capita, constant prices ",,1589.2,1643.39,1634.05,1748.56,1544.23,1302.88,1155.44,1040.68,986.3,894.64,1044.77
 Madagascar , Africa , Life expectancy ,36.68,38.87,40.85,42.88,44.85,46.88,48.97,49.35,52.21,54.98,57.29,59.44
 Madagascar , Africa , Population ,,5181679,5703324,6334556,7082430,8007166,9171477,10568642,12210395,14165114,16473477,19167654
 Malawi , Africa ," Gross domestic product per capita, constant prices ",369.17,416.37,427.9,495.51,584.62,663.22,632.8,635.52,563.2,692.28,665.42,759.35
 Malawi , Africa , Life expectancy ,36.26,37.21,38.41,39.49,41.77,43.77,45.64,47.46,49.42,47.5,45.01,48.3
 Malawi , Africa , Population ,,3221238,3628608,4147252,4730997,5637246,6502825,7824747,10014249,10419991,11824495,13327079
 Malaysia , Asia ," Gross domestic product per capita, constant prices ",,1810.07,2036.88,2277.74,2849.09,3827.92,4920.36,5249.8,7277.91,10132.91,10206.98,12451.66
 Malaysia , Asia , Life expectancy ,48.46,52.1,55.74,59.37,63.01,65.26000000000001,68,69.5,70.69,71.94,73.04000000000001,74.23999999999999
 Malaysia , Asia , Population ,,7739235,8906385,10154878,11441462,12845381,14441916,16331785,18319502,20476091,22662365,24821286
 Mali , Africa ," Gross domestic product per capita, constant prices ",452.34,490.38,496.17,545.01,581.37,686.4,618.01,684.17,739.01,790.26,951.41,1042.58
 Mali , Africa , Life expectancy ,33.69,35.31,36.94,38.49,39.98,41.71,43.92,46.36,48.39,49.9,51.82,54.47
 Mali , Africa , Population ,,4241884,4690372,5212416,5828158,6491649,6998256,7634008,8416215,9384984,10580176,12031795
 Mauritania , Africa ," Gross domestic product per capita, constant prices ",743.12,846.12,1055.9,1421.15,1586.85,1497.49,1481.15,1421.6,1361.37,1483.14,1579.02,1803.15
 Mauritania , Africa , Life expectancy ,40.54,42.34,44.25,46.29,48.44,50.85,53.6,56.15,58.33,60.43,62.25,64.16
 Mauritania , Africa , Population ,,1076852,1146757,1230542,1332786,1456688,1622136,1841240,2119465,2444741,2828858,3270065
 Mauritius , Africa ," Gross domestic product per capita, constant prices ",,2034.04,2529.07,2475.39,2575.48,3710.98,3688.04,4783.59,6058.25,7425.71,9021.82,10956.99
 Mauritius , Africa , Life expectancy ,50.99,58.09,60.25,61.56,62.94,64.93000000000001,66.70999999999999,68.73999999999999,69.75,70.73999999999999,71.95,72.8
 Mauritius , Africa , Population ,,609816,701016,789309,851334,913025,992040,1042663,1096202,1149818,1200206,1250882
 Mexico , Americas ," Gross domestic product per capita, constant prices ",,4131.55,4581.61,5754.73,6809.41,7674.93,9611.15,8688.16,9472.379999999999,9767.299999999999,10742.44,11977.57
 Mexico , Americas , Life expectancy ,50.79,55.19,58.3,60.11,62.36,65.03,67.41,69.5,71.45999999999999,73.67,74.90000000000001,76.2
 Mexico , Americas , Population ,,35015548,41121485,47995559,55984294,63759976,71640904,80122492,88111030,95895146,102479927,108700891
 Mongolia , Asia ," Gross domestic product per capita, constant prices ",786.5700000000001,912.66,1056.35,1226.04,1421.74,1647.51,2000.6,2338.01,1785.4,1902.25,2140.74,3095.77
 Mongolia , Asia , Life expectancy ,42.24,45.25,48.25,51.25,53.75,55.49,57.49,60.22,61.27,63.63,65.03,66.8
 Mongolia , Asia , Population ,,882134,1010280,1149500,1320500,1528000,1756032,2015133,2312802,2494803,2674234,2874127
 Montenegro , Europe ," Gross domestic product per capita, constant prices ",,3682.26,4649.59,5907.85,7778.41,9595.93,11222.59,11732.51,7003.34,6465.61,6557.19,9253.9
 Montenegro , Europe , Life expectancy ,59.16,61.45,63.73,67.18000000000001,70.64,73.06999999999999,74.09999999999999,74.87,75.44,75.45,73.98,74.54000000000001
 Montenegro , Europe , Population ,,442829,474528,501035,527678,560073,562548,569473,621621,692651,720230,684736
 Morocco , Africa ," Gross domestic product per capita, constant prices ",,1642,1566.35,1711.04,1930.19,2370.62,2702.62,2755.05,2948.05,2982.1,3258.5,3820.18
 Morocco , Africa , Life expectancy ,42.87,45.42,47.92,50.34,52.86,55.73,59.65,62.68,65.39,67.66,69.62,71.16
 Morocco , Africa , Population ,,11406350,13056604,14770296,16660670,18396941,20198730,22987397,25798239,28529501,31167783,33757175
 Mozambique , Africa ," Gross domestic product per capita, constant prices ",468.53,495.59,556.6900000000001,566.67,724.92,502.32,462.21,389.88,410.9,472.35,633.62,823.6900000000001
 Mozambique , Africa , Life expectancy ,31.29,33.78,36.16,38.11,40.33,42.5,42.8,42.86,44.28,46.34,44.03,42.08
 Mozambique , Africa , Life expectancy ,31.29,33.78,36.16,38.11,40.33,42.5,42.8,42.86,44.28,46.34,44.03,42.08
 Mozambique , Africa , Population ,,7038035,7788944,8680909,9809596,11127868,12587223,12891952,13160731,16603334,18473780,19951656
 Myanmar , Asia ," Gross domestic product per capita, constant prices ",331,350,388,349,357,371,424,385,347,415,611,944
 Myanmar , Asia , Life expectancy ,36.32,41.91,45.11,49.38,53.07,56.06,58.06,58.34,59.32,60.33,59.91,62.07
 Myanmar , Asia , Population ,,21731844,23634436,25870271,28466390,31528087,34680442,38028578,40546538,43247867,45598081,47761980
 Namibia , Africa ," Gross domestic product per capita, constant prices ",,2621.45,3173.22,3793.69,3746.08,3876.49,4191.1,3693.73,3804.54,3899.52,4072.32,4811.06
 Namibia , Africa , Life expectancy ,41.73,45.23,48.39,51.16,53.87,56.44,58.97,60.84,62,58.91,51.48,52.91
 Namibia , Africa , Population ,,548080,621392,706640,821782,977026,1099010,1278184,1554253,1774766,1972153,2055080
 Nepal , Asia ," Gross domestic product per capita, constant prices ",545.87,597.9400000000001,652.4,676.4400000000001,674.79,694.11,718.37,775.63,897.74,1010.89,1057.21,1091.36
 Nepal , Asia , Life expectancy ,36.16,37.69,39.39,41.47,43.97,46.75,49.59,52.54,55.73,59.43,61.34,63.79
 Nepal , Asia , Population ,,9682338,10332057,11261690,12412593,13933198,15796314,17917180,20326209,23001113,25873917,28901790
 Netherlands , Europe ," Gross domestic product per capita, constant prices ",,11276.19,12790.85,15363.25,18794.75,21209.06,21399.46,23651.32,26790.95,30246.13,33724.76,36797.93
 Netherlands , Europe , Life expectancy ,72.13,72.98999999999999,73.23,73.81999999999999,73.75,75.23999999999999,76.05,76.83,77.42,78.03,78.53,79.76000000000001
 Netherlands , Europe , Population ,,11026383,11805689,12596822,13329874,13852989,14310401,14665278,15174244,15604464,16122830,16570613
 New Zealand , Oceania ," Gross domestic product per capita, constant prices ",,12247.4,13175.68,14463.92,16046.04,16233.72,17632.41,19007.19,18363.32,21050.41,23189.8,25185.01
 New Zealand , Oceania , Life expectancy ,69.39,70.26000000000001,71.23999999999999,71.52,71.89,72.22,73.84,74.31999999999999,76.33,77.55,79.11,80.2
 New Zealand , Oceania , Population ,,2229407,2488550,2728150,2929100,3164900,3210650,3317166,3437674,3676187,3908037,4115771
 Nicaragua , Americas ," Gross domestic product per capita, constant prices ",,3457.42,3634.36,4643.39,4688.59,5486.37,3470.34,2955.98,2170.15,2253.02,2474.55,2749.32
 Nicaragua , Americas , Life expectancy ,42.31,45.43,48.63,51.88,55.15,57.47,59.3,62.01,65.84,68.43000000000001,70.84,72.90000000000001
 Nicaragua , Americas , Population ,,1358828,1590597,1865490,2182908,2554598,2979423,3344353,4017939,4609572,5146848,5675356
 Niger , Africa ," Gross domestic product per capita, constant prices ",761.88,835.52,997.77,1054.38,954.21,808.9,909.72,668.3,581.18,580.3099999999999,601.0700000000001,619.68
 Niger , Africa , Life expectancy ,37.44,38.6,39.49,40.12,40.55,41.29,42.6,44.56,47.39,51.31,54.5,56.87
 Niger , Africa , Population ,,3692184,4076008,4534062,5060262,5682086,6437188,7332638,8392818,9666252,11140655,12894865
 Nigeria , Africa ," Gross domestic product per capita, constant prices ",,1100.59,1150.93,1014.51,1698.39,1981.95,1576.97,1385.03,1619.85,1624.94,1615.29,2013.98
 Nigeria , Africa , Life expectancy ,36.32,37.8,39.36,41.04,42.82,44.51,45.83,46.89,47.47,47.46,46.61,46.86
 Nigeria , Africa , Population ,,37173340,41871351,47287752,53740085,62209173,73039376,81551520,93364244,106207839,119901274,135031164
 Norway , Europe ," Gross domestic product per capita, constant prices ",,11653.97,13450.4,16361.88,18965.06,23311.35,26298.64,31540.97,33965.66,41283.16,44683.98,49357.19
 Norway , Europe , Life expectancy ,72.67,73.44,73.47,74.08,74.34,75.37,75.97,75.89,77.31999999999999,78.31999999999999,79.05,80.2
 Norway , Europe , Population ,,3491938,3638919,3786019,3933004,4043205,4114787,4186147,4286357,4405672,4535591,4627926
 Oman , Asia ," Gross domestic product per capita, constant prices ",,2242.75,2924.64,4720.94,10618.04,11848.34,12954.79,18115.22,18616.71,19702.06,19774.84,22316.19
 Oman , Asia , Life expectancy ,37.58,40.08,43.17,46.99,52.14,57.37,62.73,67.73,71.2,72.5,74.19,75.64
 Oman , Asia , Population ,,561977,628164,714775,829050,1004533,1301048,1593882,1915208,2283635,2713462,3204897
 Pakistan , Asia ," Gross domestic product per capita, constant prices ",684.6,747.08,803.34,942.41,1049.94,1175.92,1443.43,1704.69,1971.83,2049.35,2092.71,2605.95
 Pakistan , Asia , Life expectancy ,43.44,45.56,47.67,49.8,51.93,54.04,56.16,58.25,60.84,61.82,63.61,65.48
 Pakistan , Asia , Population ,,46679944,53100671,60641899,69325921,78152686,91462088,105186881,120065004,135564834,153403524,169270617
 Panama , Americas ," Gross domestic product per capita, constant prices ",,2961.8,3536.54,4421.01,5364.25,5351.91,7009.6,7034.78,6618.74,7113.69,7356.03,9809.190000000001
 Panama , Americas , Life expectancy ,55.19,59.2,61.82,64.06999999999999,66.22,68.68000000000001,70.47,71.52,72.45999999999999,73.73999999999999,74.70999999999999,75.54000000000001
 Panama , Americas , Population ,,1063506,1215725,1405486,1616384,1839782,2036305,2253639,2484997,2734531,2990875,3242173
 Paraguay , Americas ," Gross domestic product per capita, constant prices ",,2046.15,2148.03,2299.38,2523.34,3248.37,4258.5,3998.88,4196.41,4247.4,3783.67,4172.84
 Paraguay , Americas , Life expectancy ,62.65,63.2,64.36,64.95,65.81999999999999,66.34999999999999,66.87,67.38,68.23,69.40000000000001,70.76000000000001,71.75
 Paraguay , Americas , Population ,,1770902,2009813,2287985,2614104,2984494,3366439,3886512,4483945,5154123,5884491,6667147
 Peru , Americas ," Gross domestic product per capita, constant prices ",,4245.26,4957.04,5788.09,5937.83,6281.29,6434.5,6360.94,4446.38,5838.35,5909.02,7408.91
 Peru , Americas , Life expectancy ,43.9,46.26,49.1,51.45,55.45,58.45,61.41,64.13,66.45999999999999,68.39,69.91,71.42
 Peru , Americas , Population ,,9146100,10516500,12132200,13954700,15990099,18125129,20195924,22430449,24748122,26769436,28674757
 Philippines , Asia ," Gross domestic product per capita, constant prices ",,1547.94,1649.55,1814.13,1989.37,2373.2,2603.27,2189.63,2279.32,2536.53,2650.92,3190.48
 Philippines , Asia , Life expectancy ,47.75,51.33,54.76,56.39,58.07,60.06,62.08,64.15000000000001,66.45999999999999,68.56,70.3,71.69
 Philippines , Asia , Population ,,26072194,30325264,35356600,40850141,46850962,53456774,60017788,67185766,75012988,82995088,91077287
 Poland , Europe ," Gross domestic product per capita, constant prices ",,4734.25,5338.75,6557.15,8006.51,9508.139999999999,8451.530000000001,9082.35,7738.88,10159.58,12002.24,15389.92
 Poland , Europe , Life expectancy ,61.31,65.77,67.64,69.61,70.84999999999999,70.67,71.31999999999999,70.98,70.98999999999999,72.75,74.67,75.56
 Poland , Europe , Population ,,28235346,30329617,31785378,33039545,34621254,36227381,37740710,38370697,38654957,38625976,38518241
 Portugal , Europe ," Gross domestic product per capita, constant prices ",,3774.57,4727.95,6361.52,9022.25,10172.49,11753.84,13039.31,16207.27,17641.03,19970.91,20509.65
 Portugal , Europe , Life expectancy ,59.82,61.51,64.39,66.59999999999999,69.26000000000001,70.41,72.77,74.06,74.86,75.97,77.29000000000001,78.09999999999999
 Portugal , Europe , Population ,,8817650,9019800,9103000,8970450,9662600,9859650,9915289,9927680,10156415,10433867,10642836
 Puerto Rico , Americas ," Gross domestic product per capita, constant prices ",,3907.16,5108.34,6929.28,9123.040000000001,9770.52,10330.99,12281.34,14641.59,16999.43,18855.61,19328.71
 Puerto Rico , Americas , Life expectancy ,64.28,68.54000000000001,69.62,71.09999999999999,72.16,73.44,73.75,74.63,73.91,74.92,77.78,78.75
 Puerto Rico , Americas , Population ,,2260000,2448046,2648961,2847132,3080828,3279001,3444468,3585176,3759430,3859606,3942491
 Reunion , Africa ," Gross domestic product per capita, constant prices ",,2769.45,3173.72,4021.18,5047.66,4319.8,5267.22,5303.38,6101.26,6071.94,6316.17,7670.12
 Reunion , Africa , Life expectancy ,52.72,55.09,57.67,60.54,64.27,67.06,69.89,71.91,73.62,74.77,75.73999999999999,76.44
 Reunion , Africa , Population ,,308700,358900,414024,461633,492095,517810,562035,622191,684810,743981,798094
 Romania , Europe ," Gross domestic product per capita, constant prices ",,3943.37,4735,6470.87,8011.41,9356.4,9605.309999999999,9696.27,6598.41,7346.55,7885.36,10808.48
 Romania , Europe , Life expectancy ,61.05,64.09999999999999,66.8,66.8,69.20999999999999,69.45999999999999,69.66,69.53,69.36,69.72,71.31999999999999,72.48
 Romania , Europe , Population ,,17829327,18680721,19284814,20662648,21658597,22356726,22686371,22797027,22562458,22404337,22276056
 Rwanda , Africa ," Gross domestic product per capita, constant prices ",493.32,540.29,597.47,510.96,590.58,670.08,881.5700000000001,847.99,737.0700000000001,589.9400000000001,785.65,863.09
 Rwanda , Africa , Life expectancy ,40,41.5,43,44.1,44.6,45,46.22,44.02,23.6,36.09,43.41,46.24
 Rwanda , Africa , Population ,,2822082,3051242,3451079,3992121,4657072,5507565,6349365,7290203,7212583,7852401,8860588
 Sao Tome and Principe , Africa ," Gross domestic product per capita, constant prices ",879.58,860.74,1071.55,1384.84,1532.99,1737.56,1890.22,1516.53,1428.78,1339.08,1353.09,1598.44
 Sao Tome and Principe , Africa , Life expectancy ,46.47,48.95,51.89,54.43,56.48,58.55,60.35,61.73,62.74,63.31,64.34,65.53
 Sao Tome and Principe , Africa , Population ,,61325,65345,70787,76595,86796,98593,110812,125911,145608,170372,199579
 Saudi Arabia , Asia ," Gross domestic product per capita, constant prices ",,8157.59,11626.42,16903.05,24837.43,34167.76,33693.18,21198.26,24841.62,20586.69,19014.54,21654.83
 Saudi Arabia , Asia , Life expectancy ,39.88,42.87,45.91,49.9,53.89,58.69,63.01,66.3,68.77,70.53,71.63,72.78
 Saudi Arabia , Asia , Population ,,4419650,4943029,5618198,6472756,8128505,11254672,14619745,16945857,21229759,24501530,27601038
 Senegal , Africa ," Gross domestic product per capita, constant prices ",,1567.65,1654.99,1612.4,1597.71,1561.77,1518.48,1441.72,1367.9,1392.37,1519.64,1712.47
 Senegal , Africa , Life expectancy ,37.28,39.33,41.45,43.56,45.82,48.88,52.38,55.77,58.2,60.19,61.6,63.06
 Senegal , Africa , Population ,,3054547,3430243,3965841,4588696,5260855,6147783,7171347,8307920,9535314,10870037,12267493
 Serbia , Europe ," Gross domestic product per capita, constant prices ",,4981.09,6289.63,7991.71,10522.07,12980.67,15181.09,15870.88,9325.07,7914.32,7236.08,9786.530000000001
 Serbia , Europe , Life expectancy ,58,61.69,64.53,66.91,68.7,70.3,70.16,71.22,71.66,72.23,73.20999999999999,74
 Serbia , Europe , Population ,,7271135,7616060,7971222,8313288,8686367,9032824,9230783,9826397,10336594,10111559,10150265
 Sierra Leone , Africa ," Gross domestic product per capita, constant prices ",879.79,1004.48,1116.64,1206.04,1353.76,1348.29,1465.01,1294.45,1068.7,574.65,699.49,862.54
 Sierra Leone , Africa , Life expectancy ,30.33,31.57,32.77,34.11,35.4,36.79,38.45,40.01,38.33,39.9,41.01,42.57
 Sierra Leone , Africa , Population ,,2295678,2467895,2662190,2879013,3140897,3464522,3868905,4260884,4578212,5359092,6144562
 Singapore , Asia ," Gross domestic product per capita, constant prices ",,2843.1,3674.74,4977.42,8597.76,11210.09,15169.16,18861.53,24769.89,33519.48,36023.11,47143.18
 Singapore , Asia , Life expectancy ,60.4,63.18,65.8,67.95,69.52,70.8,71.76000000000001,73.56,75.79000000000001,77.16,78.77,79.97
 Singapore , Asia , Population ,,1445929,1750200,1977600,2152400,2325300,2651869,2794552,3235865,3802309,4197776,4553009
 Slovak Republic , Europe ," Gross domestic product per capita, constant prices ",,6093.26,7481.11,8412.9,9674.17,10922.66,11348.55,12037.27,9498.469999999999,12126.23,13638.78,18678.31
 Slovak Republic , Europe , Life expectancy ,64.36,67.45,70.33,70.98,70.34999999999999,70.45,70.8,71.08,71.38,72.70999999999999,73.8,74.66
 Slovak Republic , Europe , Population ,,3844277,4237384,4442238,4593433,4827803,5048043,5199318,5302888,5383010,5410052,5447502
 Slovenia , Europe ," Gross domestic product per capita, constant prices ",,5862.28,7402.3,9405.49,12383.49,15277.03,17866.72,18678.53,14214.72,17161.11,20660.02,25768.26
 Slovenia , Europe , Life expectancy ,65.56999999999999,67.84999999999999,69.15000000000001,69.18000000000001,69.81999999999999,70.97,71.06,72.25,73.64,75.13,76.66,77.93000000000001
 Slovenia , Europe , Population ,,1533070,1582962,1646912,1694510,1746919,1861252,1945870,1999210,2011612,2011497,2009245
 Somalia , Africa ," Gross domestic product per capita, constant prices ",,1258.15,1369.49,1284.73,1254.58,1450.99,1176.81,1093.24,926.96,930.6,882.08,926.14
 Somalia , Africa , Life expectancy ,32.98,34.98,36.98,38.98,40.97,41.97,42.96,44.5,39.66,43.8,45.94,48.16
 Somalia , Africa , Population ,,2780415,3080153,3428839,3840161,4353666,5828892,6921858,6099799,6633514,7753310,9118773
 South Africa , Africa ," Gross domestic product per capita, constant prices ",,5487.1,5768.73,7114.48,7765.96,8028.65,8568.27,7825.82,7225.07,7479.19,7710.95,9269.66
 South Africa , Africa , Life expectancy ,45.01,47.99,49.95,51.93,53.7,55.53,58.16,60.83,61.89,60.24,53.37,49.34
 South Africa , Africa , Population ,,16151549,18356657,20997321,23935810,27129932,31140029,35933379,39964159,42835005,44433622,43997828
 Spain , Europe ," Gross domestic product per capita, constant prices ",,4564.8,5693.84,7993.51,10638.75,13236.92,13926.17,15764.98,18603.06,20445.3,24835.47,28821.06
 Spain , Europe , Life expectancy ,64.94,66.66,69.69,71.44,73.06,74.39,76.3,76.90000000000001,77.56999999999999,78.77,79.78,80.94
 Spain , Europe , Population ,,29841614,31158061,32850275,34513161,36439000,37983310,38880702,39549438,39855442,40152517,40448191
 Sri Lanka , Asia ," Gross domestic product per capita, constant prices ",,1072.55,1074.47,1135.51,1213.4,1348.78,1648.08,1876.77,2153.74,2664.48,3015.38,3970.1
 Sri Lanka , Asia , Life expectancy ,57.59,61.46,62.19,64.27,65.04000000000001,65.95,68.76000000000001,69.01000000000001,70.38,70.45999999999999,70.81999999999999,72.40000000000001
 Sri Lanka , Asia , Population ,,9128546,10421936,11737396,13016733,14116836,15410151,16495304,17587060,18698655,19576783,20378239
 Sudan , Africa ," Gross domestic product per capita, constant prices ",,1770.34,1959.59,1688,1659.65,2202.99,1895.54,1507.82,1492.2,1632.21,1993.4,2602.39
 Sudan , Africa , Life expectancy ,38.64,39.62,40.87,42.86,45.08,47.8,50.34,51.74,53.56,55.37,56.37,58.56
 Sudan , Africa , Population ,,9753392,11183227,12716129,14597019,17104986,20367053,24725960,28227588,32160729,37090298,42292929
 Swaziland , Africa ," Gross domestic product per capita, constant prices ",,1244.71,1856.18,2613.1,3364.84,3781.41,3895.38,3984.84,3553.02,3876.77,4128.12,4513.48
 Swaziland , Africa , Life expectancy ,41.41,43.42,44.99,46.63,49.55,52.54,55.56,57.68,58.47,54.29,43.87,39.61
 Swaziland , Africa , Population ,,326741,370006,420690,480105,551425,649901,779348,962344,1054486,1130269,1133066
 Sweden , Europe ," Gross domestic product per capita, constant prices ",,9911.879999999999,12329.44,15258.3,17832.02,18855.73,20667.38,23586.93,23880.02,25266.59,29341.63,33859.75
 Sweden , Europe , Life expectancy ,71.86,72.48999999999999,73.37,74.16,74.72,75.44,76.42,77.19,78.16,79.39,80.04000000000001,80.88
 Sweden , Europe , Population ,,7363802,7561588,7867931,8122293,8251648,8325260,8421403,8718867,8897619,8954175,9031088
 Switzerland , Europe ," Gross domestic product per capita, constant prices ",,17909.49,20431.09,22966.14,27195.11,26982.29,28397.72,30281.7,31871.53,32135.32,34480.96,37506.42
 Switzerland , Europe , Life expectancy ,69.62,70.56,71.31999999999999,72.77,73.78,75.39,76.20999999999999,77.41,78.03,79.37,80.62,81.7
 Switzerland , Europe , Population ,,5126000,5666000,6063000,6401400,6316424,6468126,6649942,6995447,7193761,7361757,7554661
 Syria , Asia ," Gross domestic product per capita, constant prices ",,2117.23,2193.04,1881.92,2571.42,3195.48,3761.84,3116.77,3340.54,4014.24,4090.93,4184.55
 Syria , Asia , Life expectancy ,45.88,48.28,50.31,53.66,57.3,61.2,64.59,66.97,69.25,71.53,73.05,74.14
 Syria , Asia , Population ,,4149908,4834621,5680812,6701172,7932503,9410494,11242847,13219062,15081016,17155814,19314747
 Taiwan , Asia ," Gross domestic product per capita, constant prices ",,1507.86,1822.88,2643.86,4062.52,5596.52,7426.35,11054.56,15215.66,20206.82,23235.42,28718.28
 Taiwan , Asia , Life expectancy ,58.5,62.4,65.2,67.5,69.39,70.59,72.16,73.40000000000001,74.26000000000001,75.25,76.98999999999999,78.40000000000001
 Taiwan , Asia , Population ,,10164215,11918938,13648692,15226039,16785196,18501390,19757799,20686918,21628605,22454239,23174294
 Tanzania , Africa ," Gross domestic product per capita, constant prices ",716.65,698.54,722,848.22,915.99,962.49,874.24,831.8200000000001,825.68,789.1900000000001,899.0700000000001,1107.48
 Tanzania , Africa , Life expectancy ,41.22,42.97,44.25,45.76,47.62,49.92,50.61,51.54,50.44,48.47,49.65,52.52
 Tanzania , Africa , Population ,,9452826,10863958,12607312,14706593,17129565,19844382,23040630,26605473,30686889,34593779,38139640
